	authorid	author_name	affiliation	emails
85	~Michael_Lutter1	Michael Lutter	TU Darmstadt	****@robot-learning.de, ****@tu-darmstadt.de, ****@ias.tu-darmstadt.de
86	~Jan_Peters3	Jan Peters	TU Darmstadt	****@jan-peters.net, ****@tu-darmstadt.de, ****@ias.tu-darmstadt.de
87	~Guang-He_Lee1	Guang-He Lee	Massachusetts Institute of Technology	****@mit.edu, ****@csail.mit.edu
88	~David_Alvarez-Melis1	David Alvarez-Melis	Microsoft	****@mit.edu, ****@microsoft.com, ****@gmail.com, ****@csail.mit.edu, ****@seas.harvard.edu
89	~Tommi_S._Jaakkola1	Tommi Jaakkola	Massachusetts Institute of Technology	****@csail.mit.edu, ****@ai.mit.edu, ****@mit.edu
90	~Meng_Qu1	Meng Qu	Montreal Institute for Learning Algorithms, University of Montreal, University of Montreal	****@gmail.com
91	~Jian_Tang1	Jian Tang	Mila, HEC Montreal	****@gmail.com, ****@hec.ca
92	~Yoshua_Bengio1	Yoshua Bengio	University of Montreal	****@gmail.com, ****@iro.umontreal.ca, ****@mila.quebec, ****@umontreal.ca
93	~Pierre_Jacob1	Pierre Jacob	ETIS	****@ensea.fr
94	~David_Picard1	David Picard	École des Ponts	****@ensea.fr, ****@enpc.fr
95	~Aymeric_Histace1	Aymeric Histace	ETIS	****@ensea.fr
96	~Edouard_Klein1	Edouard Klein	Centrale-Supelec	****@gendarmerie.interieur.gouv.fr
97	~Peng_Cao1	Peng Cao	Massachusetts Institute of Technology	****@pku.edu.cn, ****@mit.edu
98	~Yilun_Xu1	Yilun Xu	Massachusetts Institute of Technology	****@pku.edu.cn, ****@mit.edu
99	~Yuqing_Kong1	Yuqing Kong	Peking University	****@pku.edu.cn
100	~Yizhou_Wang1	Yizhou Wang	Peking University	****@pku.edu.cn
101	~huaxia_wang1	huaxia wang	Oklahoma State University	****@stevens.edu, ****@okstate.edu
102	~Chun-Nam_Yu1	Chun-Nam Yu	Department of Computer Science	****@cs.cornell.edu
103	~Yuan_Yuan5	Yuan Yuan	Massachusetts Institute of Technology	****@gmail.com, ****@mit.edu, ****@connect.ust.hk
104	~Yueming_Lyu1	Yueming Lyu	University of Technology Sydney	****@outlook.com, ****@gmail.com
105	~Xi_SHEN1	Xi SHEN	ENPC	****@gmail.com, ****@enpc.fr
106	~Ivor_W_Tsang1	Ivor Tsang	University of Technology Sydney	****@uts.edu.au, ****@gmail.com, ****@ntu.edu.sg
107	~Dit-Yan_Yeung2	Dit-Yan Yeung	Hong Kong University of Science and Technology	****@cse.ust.hk, ****@cse.usk.hk
108	~Benedikt_Pfülb1	Benedikt Pfülb	University of Applied Sciences Fulda	****@cs.hs-fulda.de, ****@gmail.com
109	~Alexander_Gepperth1	Alexander Gepperth	HAW Fulda	****@cs.hs-fulda.de
110	~Chuan_Guo1	Chuan Guo	Facebook AI Research	****@cornell.edu, ****@fb.com
111	~Jacob_R_Gardner1	Jacob Gardner	University of Pennsylvania	****@cornell.edu, ****@gmail.com, ****@uber.com, ****@seas.upenn.edu
112	~Yurong_You1	Yurong You	Cornell University	****@cornell.edu
